id,user_id,role,activity_type_id,activity_type,activity_type_e,date,start,finish,target_id,target_role,activity2user_id
856,12,介護,26,休憩,Break,2018-02-08,1518069818000.0,1518069818000.0,12,介護,10391
1482,22,介護,26,休憩,Break,2018-02-20,1519101365000.0,1519101368000.0,10,介護,17267
1602,4,ケアマネジャー,26,休憩,Break,2018-02-23,1519363901000.0,1519363903000.0,3,ケアマネジャー,17634
2612,12,介護,26,休憩,Break,2018-03-12,1520854600000.0,1520854601000.0,12,介護,21435
3142,21,介護,26,休憩,Break,2018-03-15,1521089508000.0,1521089509000.0,21,介護,22707
3998,9,介護,26,休憩,Break,2018-03-29,1522301881000.0,1522301889000.0,9,介護,25054
4006,22,介護,26,休憩,Break,2018-03-29,1522302275000.0,1522302276000.0,22,介護,25062
4375,2,管理者,26,休憩,Break,2018-04-04,1522885118000.0,1522885119000.0,2,管理者,26018
4644,12,介護,26,休憩,Break,2018-04-05,1522935209000.0,1522935209000.0,12,介護,26600
5505,19,介護,26,休憩,Break,2018-04-12,1523509362000.0,1523509363000.0,19,介護,29003
6186,12,介護,26,休憩,Break,2018-04-15,1523767797000.0,1523767797000.0,12,介護,30885
6425,12,介護,26,休憩,Break,2018-04-16,1523853112000.0,1523853114000.0,12,介護,31398
6813,12,介護,26,休憩,Break,2018-04-17,1523969470000.0,1523969471000.0,12,介護,32241
7942,12,介護,26,休憩,Break,2018-04-21,1524317543000.0,1524317546000.0,12,介護,34827
8572,12,介護,26,休憩,Break,2018-04-24,1524576308000.0,1524576312000.0,12,介護,36380
10600,19,介護,26,休憩,Break,2018-05-03,1525320487000.0,1525322470000.0,19,介護,41740
11262,6,介護,26,休憩,Break,2018-05-04,1525407508000.0,1525408561000.0,6,介護,42764
11656,12,介護,26,休憩,Break,2018-05-05,1525534643000.0,1525534644000.0,12,介護,43425
13118,12,介護,26,休憩,Break,2018-05-07,1525668261000.0,1525668263000.0,12,介護,46029
13622,19,介護,26,休憩,Break,2018-05-08,1525745424000.0,1525745425000.0,19,介護,47368
14639,12,介護,26,休憩,Break,2018-05-10,1525971308000.0,1525971309000.0,12,介護,49294
16734,12,介護,26,休憩,Break,2018-05-13,1526186495000.0,1526186498000.0,12,介護,53693
17279,12,介護,26,休憩,Break,2018-05-14,1526273386000.0,1526273389000.0,12,介護,54827
22164,12,介護,26,休憩,Break,2018-05-22,1526996493000.0,1526996496000.0,12,介護,64539
24570,12,介護,26,休憩,Break,2018-05-27,1527434699000.0,1527434699000.0,12,介護,69117
34678,12,介護,26,休憩,Break,2018-06-14,1529002146000.0,1529002150000.0,12,介護,89768
4021,21,介護,6,処置,Treatment,2018-03-29,1522303332000.0,1522303334000.0,40,３階,25078
5960,2,管理者,6,処置,Treatment,2018-04-14,1523684861000.0,1523684862000.0,29,２階,30128
10500,12,介護,6,処置,Treatment,2018-05-03,1525312905000.0,1525312905000.0,65,４階,41514
10546,12,介護,6,処置,Treatment,2018-05-03,1525315915000.0,1525315916000.0,61,４階,41612
16103,6,介護,6,処置,Treatment,2018-05-12,1526099316000.0,1526099332000.0,35,２階,52442
20711,6,介護,6,処置,Treatment,2018-05-20,1526779926000.0,1526780136000.0,35,２階,61578
20739,6,介護,6,処置,Treatment,2018-05-20,1526780895000.0,1526780905000.0,92,２階,61654
24112,6,介護,6,処置,Treatment,2018-05-26,1527295021000.0,1527295047000.0,92,２階,68319
25364,6,介護,6,処置,Treatment,2018-05-28,1527467049000.0,1527467065000.0,35,２階,70525
25472,6,介護,6,処置,Treatment,2018-05-28,1527491160000.0,1527492096000.0,92,２階,70713
27639,6,介護,6,処置,Treatment,2018-06-01,1527817779000.0,1527817967000.0,35,２階,75082
28252,6,介護,6,処置,Treatment,2018-06-02,1527922726000.0,1527922886000.0,35,２階,76122
28253,6,介護,6,処置,Treatment,2018-06-02,1527922907000.0,1527923391000.0,92,２階,76123
28330,6,介護,6,処置,Treatment,2018-06-02,1527937493000.0,1527937494000.0,31,２階,76297
33310,6,介護,6,処置,Treatment,2018-06-11,1528695885000.0,1528695894000.0,35,２階,86626
33829,12,介護,6,処置,Treatment,2018-06-12,1528769572000.0,1528769573000.0,60,４階,87555
33830,12,介護,6,処置,Treatment,2018-06-12,1528770181000.0,1528770181000.0,61,４階,87556
34858,6,介護,6,処置,Treatment,2018-06-14,1528938627000.0,1528938804000.0,35,２階,90072
302,19,介護,4,排泄,Excretion,2018-02-03,1517634091000.0,1517634101000.0,31,２階,10110
402,22,介護,4,排泄,Excretion,2018-02-05,1517828015000.0,1517828019000.0,14,介護,12078
726,21,介護,4,排泄,Excretion,2018-02-08,1518050109000.0,1518050110000.0,65,４階,11347
727,21,介護,4,排泄,Excretion,2018-02-08,1518050111000.0,1518050111000.0,65,４階,11349
733,21,介護,4,排泄,Excretion,2018-02-08,1518050127000.0,1518050128000.0,65,４階,11375
735,21,介護,4,排泄,Excretion,2018-02-08,1518050133000.0,1518050134000.0,65,４階,11393
739,21,介護,4,排泄,Excretion,2018-02-08,1518050138000.0,1518050138000.0,65,４階,11409
813,12,介護,4,排泄,Excretion,2018-02-08,1518056497000.0,1518065033000.0,59,４階,9339
813,12,介護,4,排泄,Excretion,2018-02-08,1518056497000.0,1518065033000.0,61,４階,9340
822,12,介護,4,排泄,Excretion,2018-02-08,1518057685000.0,1518065015000.0,71,４階,12728
820,12,介護,4,排泄,Excretion,2018-02-08,1518064697000.0,1518057618000.0,63,４階,10001
848,12,介護,4,排泄,Excretion,2018-02-08,1518065002000.0,1518064965000.0,61,４階,11782
847,12,介護,4,排泄,Excretion,2018-02-08,1518065004000.0,1518065005000.0,65,４階,10745
824,12,介護,4,排泄,Excretion,2018-02-08,1518065010000.0,1518065011000.0,68,４階,10348
816,12,介護,4,排泄,Excretion,2018-02-08,1518065026000.0,1518065029000.0,70,４階,9574
815,12,介護,4,排泄,Excretion,2018-02-08,1518065027000.0,1518065028000.0,71,４階,10743
858,12,介護,4,排泄,Excretion,2018-02-08,1518069894000.0,1518069895000.0,61,４階,10230
858,12,介護,4,排泄,Excretion,2018-02-08,1518069894000.0,1518069895000.0,71,４階,10229
877,12,介護,4,排泄,Excretion,2018-02-08,1518071472000.0,1518071473000.0,59,４階,12676
878,12,介護,4,排泄,Excretion,2018-02-08,1518071483000.0,1518071484000.0,60,４階,12679
880,12,介護,4,排泄,Excretion,2018-02-08,1518074145000.0,1518074146000.0,65,４階,12685
881,12,介護,4,排泄,Excretion,2018-02-08,1518075813000.0,1518075815000.0,61,４階,12690
881,12,介護,4,排泄,Excretion,2018-02-08,1518075813000.0,1518075815000.0,65,４階,12689
881,12,介護,4,排泄,Excretion,2018-02-08,1518075813000.0,1518075815000.0,71,４階,12688
736,21,介護,4,排泄,Excretion,2018-02-08,1518112855000.0,1518112856000.0,56,４階,9315
940,12,介護,4,排泄,Excretion,2018-02-09,1518169858000.0,1518169859000.0,59,４階,12525
936,12,介護,4,排泄,Excretion,2018-02-09,1518169864000.0,1518169865000.0,61,４階,12521
943,12,介護,4,排泄,Excretion,2018-02-09,1518169901000.0,1518169902000.0,71,４階,12540
947,12,介護,4,排泄,Excretion,2018-02-09,1518171509000.0,1518171510000.0,65,４階,12469
948,12,介護,4,排泄,Excretion,2018-02-09,1518171534000.0,1518172752000.0,65,４階,11153
